연번,호선,역번호,역명,광고시설물명,광고시설물 수량,광고대행사,데이터기준일자
280,2,204,을지로4가(2),제2기 교통카드 RF단말기 광고,0,서울신교통카드,2024-11-28
281,2,205,동대문역사문화공원(2),역구내조명광고,0,브랜드발전소,2024-11-28
282,2,205,동대문역사문화공원(2),역구내포스터,0,브랜드발전소,2024-11-28
283,2,205,동대문역사문화공원(2),멀티비젼,1,나스미디어,2024-11-28
284,2,205,동대문역사문화공원(2),디지털포스터,0,브랜드발전소,2024-11-28
285,2,205,동대문역사문화공원(2),기둥조명,0,전홍,2024-11-28
286,2,205,동대문역사문화공원(2),승강장안전문 조명(민자제외),44,에스엘엠엔씨,2024-11-28
287,2,205,동대문역사문화공원(2),승강장매립형,0,,2024-11-28
288,2,205,동대문역사문화공원(2),공간활용 프로모션,0,전홍,2024-11-28
289,2,205,동대문역사문화공원(2),승강장음성광고,0,양진텔레콤,2024-11-28
290,2,205,동대문역사문화공원(2),디지털종합안내도_디지털,0,싸인텔레콤,2024-11-28
291,2,205,동대문역사문화공원(2),디지털종합안내도_인쇄식,0,싸인텔레콤,2024-11-28
292,2,205,동대문역사문화공원(2),디지털종합안내도_조명,12,싸인텔레콤,2024-11-28
293,2,205,동대문역사문화공원(2),스마트 정보 안내시스템,0,,2024-11-28
294,2,205,동대문역사문화공원(2),디지털보드,10,씨에스와이커뮤니케이션,2024-11-28
295,2,205,동대문역사문화공원(2),지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
296,2,205,동대문역사문화공원(2),승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
297,2,205,동대문역사문화공원(2),승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
298,2,205,동대문역사문화공원(2),승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
299,2,205,동대문역사문화공원(2),역구내행선안내게시기,18,비츠로미디어,2024-11-28
300,2,205,동대문역사문화공원(2),제2기 교통카드 RF단말기 광고,0,서울신교통카드,2024-11-28
301,2,206,신당(2),역구내조명광고,0,브랜드발전소,2024-11-28
302,2,206,신당(2),역구내포스터,5,브랜드발전소,2024-11-28
303,2,206,신당(2),멀티비젼,0,나스미디어,2024-11-28
304,2,206,신당(2),디지털포스터,0,브랜드발전소,2024-11-28
305,2,206,신당(2),기둥조명,0,전홍,2024-11-28
306,2,206,신당(2),승강장안전문 조명(민자제외),0,에스엘엠엔씨,2024-11-28
307,2,206,신당(2),승강장매립형,0,,2024-11-28
308,2,206,신당(2),공간활용 프로모션,0,전홍,2024-11-28
309,2,206,신당(2),승강장음성광고,0,양진텔레콤,2024-11-28
310,2,206,신당(2),디지털종합안내도_디지털,10,싸인텔레콤,2024-11-28
311,2,206,신당(2),디지털종합안내도_인쇄식,4,싸인텔레콤,2024-11-28
312,2,206,신당(2),디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
313,2,206,신당(2),스마트 정보 안내시스템,0,,2024-11-28
314,2,206,신당(2),디지털보드,2,씨에스와이커뮤니케이션,2024-11-28
315,2,206,신당(2),지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
316,2,206,신당(2),승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
317,2,206,신당(2),승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
318,2,206,신당(2),승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
319,2,206,신당(2),역구내행선안내게시기,15,비츠로미디어,2024-11-28
320,2,206,신당(2),제2기 교통카드 RF단말기 광고,0,서울신교통카드,2024-11-28
321,2,207,상왕십리,역구내조명광고,0,브랜드발전소,2024-11-28
322,2,207,상왕십리,역구내포스터,0,브랜드발전소,2024-11-28
